Date, Open, High, Low, Close, Volume
08/24/21,93.333,94.167,92.583,94.083,1120500.027
08/23/21,93.583,94.333,92.5,92.5,885804.0216
08/20/21,93.333,93.75,92.083,93.25,2864748.07
08/19/21,93.333,93.5,91.667,93.333,2753952.067
08/18/21,92.583,94,92.5,94,798084.0195
08/17/21,90.833,93.25,90.667,92.583,1508508.037
08/16/21,89.917,90.667,89.25,90.667,987540.0241
08/13/21,91.333,91.833,88.833,88.833,963528.0235
8/12/2021,92.833,92.833,90.5,91.083,899688.022
8/11/2021,92.5,92.917,91.417,92.917,551316.0135
8/10/2021,92.667,92.75,90.833,90.917,1053372.026
8/9/2021,92.333,92.333,90.833,92.333,2726568.067
8/6/2021,91.667,92.5,91.25,92.5,5203740.127
8/5/2021,92.5,93.917,91.917,92.5,4512708.11
8/4/2021,92.25,94.583,91.917,94.083,3202080.078
8/3/2021,88.667,92.5,87.667,92.5,4644708.113
8/2/2021,85.167,88.75,85.167,88.75,2388456.058
07/30/21,89.167,90.333,85,85,3091332.075
07/29/21,87.333,88.75,87.083,88.5,2242188.055
07/28/21,88.333,89.833,86.833,86.833,1922160.047
07/27/21,85.75,88.667,85.5,88.667,1565388.038
07/26/21,87.5,87.667,85.25,85.25,2062032.05
07/23/21,89.167,89.667,86.917,88,3223968.079
07/22/21,87.083,89.667,87.083,89.667,3247920.079
07/21/21,90.25,90.25,86.75,86.75,1848948.045
07/19/21,90,90.833,88.333,90.417,1368312.033
07/16/21,91.25,91.667,90.5,90.917,1868916.046
07/15/21,92.917,93.167,91,91.25,2278188.056
07/14/21,92,93.167,92,92.917,1896564.046
07/13/21,93.333,93.333,91.417,92.25,4154592.101
7/12/2021,92.917,94.167,92.583,93.75,1482624.036
7/9/2021,94.583,95,91.75,92.917,2166696.053
7/8/2021,95.417,95.583,94.75,95.167,806736.0197
7/7/2021,95.5,95.75,94.583,95.417,1836492.045
7/6/2021,96.167,96.25,95.417,95.5,1390152.034
7/5/2021,96.167,97.167,95.25,95.25,2195124.054
7/2/2021,95.833,96.167,95.083,96.167,2092464.051
7/1/2021,95,96.25,95,95.833,2373144.058
06/30/21,95.083,95.833,94.333,94.333,3288180.08
06/29/21,94.333,95.833,94.25,95.833,1322292.032
06/28/21,95.833,96,93.333,94.333,2890164.071
06/25/21,94.917,95.833,94.667,95.833,2472444.06
06/24/21,95,95.417,94.583,94.917,2609832.064
06/23/21,95.333,96.25,94.667,95.083,2442252.06
06/22/21,95.333,96.417,94.667,95.333,8380944.204
06/21/21,94.417,95.417,93.833,95.333,4578216.112
06/18/21,96.667,97.5,94.167,94.25,8370984.204
06/17/21,98.083,98.083,96.167,97,4459836.109
06/16/21,93.917,98.417,93.917,98.25,6204744.151
06/15/21,94.75,95.083,93.333,93.917,2056248.05
06/14/21,91.667,95,91.5,95,2130816.052
6/11/2021,92.167,92.167,90.5,91.333,6401436.156
6/10/2021,91.75,91.75,90.167,90.833,3018216.074
6/9/2021,89.417,91.917,89.417,91.917,1525284.037
6/8/2021,88.667,89.833,87.917,89.083,4106196.1
6/7/2021,89.167,89.167,88.25,88.667,1866360.046
6/4/2021,88.167,89.75,88.083,89.167,3305268.081
6/3/2021,88.5,88.833,87.583,87.667,6607824.161
6/2/2021,87.5,89.417,87.333,88.75,6409236.156
6/1/2021,86.333,88.167,86.167,88.167,7867164.192
05/31/21,85.167,86.417,85.167,86.417,32173920.79
05/28/21,84.167,85.583,84,84.833,4912896.12
05/27/21,84.75,86,82.083,82.083,2845968.069
05/26/21,84.417,85.75,84.333,84.5,4255092.104
05/25/21,84.583,85.167,84.25,84.25,2922156.071
05/24/21,85,85.333,83.917,84.25,4332084.106
05/21/21,85.5,85.833,84.833,85,2951256.072
05/20/21,85.833,86.083,85.5,85.5,5865516.143
05/19/21,85.667,86.333,85.25,85.583,4053816.099
05/18/21,87.083,87.5,85.417,85.417,3635628.089
05/17/21,86.833,88.25,86.833,88.25,1437540.035
05/14/21,88.25,88.333,85.417,88.333,3307152.081
5/12/2021,88.25,88.25,86.25,88,1683792.041
5/11/2021,87.5,88.75,87.5,88.333,1224624.03
5/10/2021,86.667,87.917,86.333,87.917,2584344.063
5/7/2021,86.833,87.167,86.25,86.667,1611552.039
5/6/2021,87.333,87.333,86.5,87.333,818220.02
5/5/2021,87.333,87.333,86.333,87.333,1039596.025
5/4/2021,86.667,87.667,86.333,87.333,2335668.057
5/3/2021,86.167,86.75,86.167,86.417,1865256.046
04/30/21,88.25,88.25,85.917,85.917,2205072.054
04/29/21,87.083,88.333,86.75,88.333,1666572.041
04/28/21,87,88.25,86,88.25,2593368.063
04/27/21,87.917,88,86.167,86.667,1770360.043
04/26/21,87.833,88.167,87.083,87.667,2832036.069
04/23/21,85.917,87.583,85.917,87.5,2409816.059
04/22/21,87.5,87.5,85.333,85.833,3503472.085
04/21/21,88.5,89.167,88,88,2429772.059
04/20/21,87.667,88.75,87,88.75,1286400.031
04/19/21,87.417,87.833,86.667,87.667,2693472.066
